years,installed,name,potential
2004,0,Energy perspectives 2050+,84.94557
2005,0,Energy perspectives 2050+,84.94557
2006,0.157,Energy perspectives 2050+,84.94557
2007,0.314,Energy perspectives 2050+,84.94557
2008,0.471,Energy perspectives 2050+,84.94557
2009,0.629,Energy perspectives 2050+,84.94557
2010,0.786,Energy perspectives 2050+,84.94557
2011,0.943,Energy perspectives 2050+,84.94557
2012,1.1,Energy perspectives 2050+,84.94557
2013,1.257,Energy perspectives 2050+,84.94557
2014,1.414,Energy perspectives 2050+,84.94557
2015,1.571,Energy perspectives 2050+,84.94557
2016,1.729,Energy perspectives 2050+,84.94557
2017,1.886,Energy perspectives 2050+,84.94557
2018,2.043,Energy perspectives 2050+,84.94557
2019,2.2,Energy perspectives 2050+,84.94557
2020,2.55,Energy perspectives 2050+,84.94557
2021,2.9,Energy perspectives 2050+,84.94557
2022,3.25,Energy perspectives 2050+,84.94557
