"","BFS_NUMMER","name","knr.x","pop","installed_kw_before2005","installed_kw_2005","installed_kw_2006","installed_kw_2007","installed_kw_2008","installed_kw_2009","installed_kw_2010","installed_kw_2011","installed_kw_2012","installed_kw_2013","installed_kw_2014","installed_kw_2015","installed_kw_2016","installed_kw_2017","installed_kw_2018","installed_kw_2019","installed_kw_2020","installed_kw_2021","installed_kw_2022","installed_kw_total","knr.y","Scenario1_RoofsOnly_PotentialSolarElectricity_GWh","Scenario2_RoofsOnly_PotentialSolarElectricity_GWh","Scenario3_RoofsFacades_PotentialSolarElectricity_GWh","Scenario4_RoofsFacades_PotentialSolarElectricity_GWh"
"1",1,"Aeugst am Albis",1,1988,0,0,0,0,0,0,0,39.9,0,66.58,9.2,229.71,33.23,95.28,420.85,36.47,146.66,165.76,21.17,1264.81,1,16.03,10.02,21.43,15.42
"2",2,"Affoltern am Albis",1,12404,6.4,0,0,0,0,38,4.4,84.36,594.8,130.2,104.71,98.33,465.68,139.7,90.19,171.17,304.97,291.03,273.13,2797.07,1,68.3,46.5,92.12,70.33
"3",3,"Bonstetten",1,5632,10,4.8,8.5,0,0,17.4,0,124.01,79.82,145.65,294.87,137.35,15.08,60.61,29.14,53.99,38.41,152.95,120.42,1293,1,24.64,14.37,32.95,22.68
"4",4,"Hausen am Albis",1,3852,0,0,0,0,0,0,3.5,40.64,14.02,351.95,390.46,724.88,146.51,123.29,224.27,105.99,107.53,171.07,105.78,2509.89,1,29.3,19.04,39.88,29.61
"5",5,"Hedingen",1,3780,188.4,0,0,0,0,0,4.6,212.99,46.67,36.95,319.56,366.08,63.58,177.48,69.6,162.73,220.66,153.74,228.84,2251.88,1,23.13,14.18,31.03,22.08
"6",6,"Kappel am Albis",1,1290,0,0,0,0,0,0,2.2,5.5,95.71,113.2,12,24.76,140.25,78.51,110.11,10.56,79.82,159.74,118.27,950.63,1,12.59,8.19,16.59,12.2
"7",7,"Knonau",1,2445,0,0,0,54.52,0,366.1,2.2,972.62,25.75,213.53,17.54,108.97,597.58,105.88,65.86,51.48,146.79,126.26,102.45,2957.53,1,17.4,12.14,23.05,17.8
"8",8,"Maschwanden",1,641,12,0,0,0,0,0,0,0,60,0,13.09,248.83,0,5.8,18,26.66,0,112.6,21.05,518.03,1,7.75,5.36,9.99,7.62
"9",9,"Mettmenstetten",1,5570,101,0,7,0,0,0,5.3,181.33,93.75,271.14,120.58,193.05,454.96,90.78,309.44,171.95,294.66,455.87,200.84,2951.65,1,39.54,27.07,53.12,40.65
"10",10,"Obfelden",1,5760,10,4.9,0,0,0,3.5,12.6,0,45.31,29.52,88.3,342.7,133.38,178.24,97.69,177.29,151.87,220.18,218.51,1713.99,1,31.61,18.92,43.04,30.36
"11",11,"Ottenbach",1,2745,0,0,0,0,6.2,0,0,28.42,57.67,21.84,128.62,78.74,58.15,54.61,82.04,307.73,68.31,330.22,106.07,1328.62,1,19.45,11.49,26.09,18.12
"12",12,"Rifferswil",1,1150,0,0,0,0,0,0,0,19.22,0,16.1,39.61,37.32,503.12,133.36,34.5,63.76,54.96,42.68,152.15,1096.78,1,11.33,7.77,14.89,11.32
"13",13,"Stallikon",1,3825,0,0,0,0,0,0,0,0,0,44.28,0,35.59,5,48.63,74.32,105.9,35.52,208.55,60.66,618.45,1,20.05,10.51,26.71,17.16
"14",14,"Wettswil am Albis",1,5288,0,8.9,0,0,10.2,0,7,36.07,34.32,86.23,36.81,231.82,43.52,87.18,28.55,96.23,438.61,800.62,101.48,2047.54,1,25.43,14.32,33.72,22.62
"15",22,"Benken (ZH)",1,852,0,0,0,0,0,0,0,10.1,30.1,0,7.28,41.31,0,0,0,22.33,13.2,18.46,108.41,251.19,1,10.94,7.5,13.61,10.17
"16",23,"Berg am Irchel",1,591,0,0,0,0,22.6,0,0,50.2,0,30.94,0,0,40.75,0,18.42,0,48,87.74,49.76,348.41,1,7.5,4.89,9.39,6.8
"17",24,"Buch am Irchel",1,1026,0,0,5,0,0,0,5.5,143.5,0,51.2,10.83,42.22,30.22,29.4,0,0,82.54,9.75,2.08,412.24,1,12.14,8.55,15.5,11.92
"18",25,"Dachsen",1,1945,0,0,0,0,3.9,7.2,0,0,19.8,33.01,24.98,17.27,40.68,93.23,48.93,66.72,142.46,61.26,48.06,607.5,1,13.72,7.99,17.8,12.07
"19",26,"Dorf",1,695,0,0,0,0,0,0,0,0,0,61.22,0,0,0,14.1,12.09,0,9.15,49.61,0,146.17,1,6.48,4.18,8.47,6.14
"20",27,"Feuerthalen",1,3764,0,0,4.1,2.2,0,3.86,0,7.26,24.54,5.5,24.68,19.4,91,53.59,15.41,36.61,105.44,64.92,185.94,644.45,1,20.66,12.96,27.71,20.02
"21",28,"Flaach",1,1441,0,0,0,5.5,0,0,0,50.5,0,8.67,8.25,13.32,0,11.73,63.73,285.13,66.57,41.57,43.73,598.7,1,17.11,11.51,21.41,15.81
"22",29,"Flurlingen",1,1516,0,0,4.2,0,0,0,0,4.9,0,5.5,0,59.91,0,30.29,65.98,15.48,52.96,58.62,37.17,335.01,1,11.7,7.33,14.65,10.27
"23",31,"Henggart",1,2304,0,0,0,0,0,0,0,386.65,19.12,39.04,36.2,52.28,0,86.05,104.39,29.16,91.71,80.23,353.44,1278.27,1,12.94,7.45,17.44,11.94
