KANTONSNUM,name,lng,lat,zoom_level
1,Zürich,8.673131,47.42874,9.4
2,Bern,7.63081,46.8399,8.5
3,Luzern,8.150329,47.03219,9.5
4,Uri,8.639034,46.7594,9.6
5,Schwyz,8.726578,47.05983,10
6,Obwalden,8.27414,46.86846,10.5
7,Nidwalden,8.411545,46.89633,10.5
8,Glarus,9.060015,46.98531,9.9
9,Zug,8.534282,47.16459,11.1
10,Fribourg,7.073615,46.72781,9.3
11,Solothurn,7.636057,47.28983,9.7
12,Basel-Stadt,7.617173,47.55777,12.1
13,Basel-Landschaft,7.657799,47.4507,10.6
14,Schaffhausen,8.627121,47.67884,10.5
15,Appenzell Ausserrhoden,9.417318,47.35749,10.6
16,Appenzell Innerrhoden,9.470025,47.336,10.8
17,St. Gallen,9.321016,47.21336,9.1
18,Graubünden,9.571931,46.6205,8.7
19,Aargau,8.165866,47.37788,9.5
20,Thurgau,9.067954,47.53701,10.1
21,Ticino,8.843759,46.22774,8.8
22,Vaud,6.728335,46.59319,8.8
23,Valais,7.720625,46.2585,8.9
24,Neuchâtel,6.778225,47.00755,10.1
25,Genève,6.156048,46.25178,10.6
26,Jura,7.144547,47.33138,10
